,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,knn,rfc,log,gb,sgd,lda,svc,mlp,result
9150,12.0,4.0,11.0,4.0,17.0,10.0,2.0,1.0,0.0,0.0,2,0,2,2,2,2,2,2,2
9151,9.0,3.0,5.0,4.0,10.0,5.0,2.0,0.0,0.0,0.0,2,0,2,2,2,2,2,2,2
9152,3.0,5.0,5.0,9.0,12.0,12.0,1.0,1.0,0.0,0.0,0,0,1,0,2,0,2,2,0
9153,5.0,4.0,4.0,4.0,6.0,9.0,2.0,2.0,0.0,0.0,1,0,2,2,2,2,2,2,1
9154,7.0,1.0,5.0,4.0,10.0,10.0,1.0,1.0,0.0,0.0,2,0,2,2,2,2,2,2,2
9155,11.0,2.0,5.0,2.0,10.0,14.0,2.0,5.0,0.0,0.0,2,0,2,2,2,2,2,2,2
9156,5.0,4.0,6.0,3.0,17.0,8.0,4.0,3.0,0.0,0.0,2,0,1,0,2,1,2,2,2
9157,5.0,3.0,4.0,13.0,10.0,5.0,0.0,2.0,0.0,0.0,2,0,2,2,2,2,2,2,2
9158,4.0,6.0,3.0,7.0,12.0,14.0,3.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,0
9159,5.0,6.0,6.0,8.0,13.0,19.0,6.0,2.0,0.0,0.0,1,0,0,0,0,0,0,0,1
9160,2.0,7.0,5.0,9.0,10.0,12.0,2.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0
9161,0.0,9.0,6.0,7.0,9.0,1.0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0
9162,6.0,4.0,9.0,8.0,8.0,7.0,0.0,1.0,0.0,0.0,0,0,2,2,2,2,2,2,0
9163,7.0,5.0,7.0,7.0,12.0,11.0,3.0,5.0,0.0,0.0,0,0,2,2,2,2,2,2,0
9164,4.0,5.0,7.0,5.0,14.0,13.0,0.0,3.0,0.0,0.0,0,0,0,2,2,2,0,0,0
9165,4.0,2.0,8.0,2.0,5.0,9.0,1.0,1.0,0.0,0.0,2,0,1,2,2,2,2,2,2
9166,8.0,5.0,6.0,3.0,13.0,10.0,1.0,2.0,0.0,0.0,1,0,2,2,2,2,2,2,1
9167,8.0,5.0,11.0,6.0,10.0,9.0,1.0,1.0,0.0,0.0,2,0,2,2,2,2,2,2,2
9168,3.0,9.0,1.0,10.0,4.0,6.0,1.0,2.0,0.0,0.0,1,0,0,0,0,0,0,0,1
9169,4.0,2.0,5.0,6.0,13.0,10.0,2.0,0.0,0.0,0.0,0,0,2,2,2,2,2,2,0
9170,6.0,4.0,9.0,3.0,0.0,16.0,0.0,3.0,0.0,0.0,0,0,0,2,2,2,2,2,0
9171,7.0,5.0,4.0,5.0,3.0,10.0,0.0,0.0,1.0,0.0,2,0,0,0,2,2,0,2,2
9172,5.0,6.0,4.0,8.0,10.0,12.0,0.0,2.0,0.0,0.0,2,0,2,2,2,2,2,2,2
9173,6.0,3.0,6.0,7.0,6.0,10.0,1.0,0.0,0.0,0.0,2,0,2,2,2,2,2,2,2
9174,8.0,7.0,7.0,12.0,8.0,10.0,2.0,1.0,0.0,0.0,1,0,2,2,2,2,2,2,1
9175,3.0,4.0,7.0,2.0,12.0,18.0,1.0,4.0,0.0,0.0,1,0,0,2,0,1,0,0,1
9176,6.0,3.0,4.0,4.0,7.0,9.0,0.0,1.0,0.0,0.0,2,0,2,2,2,2,2,2,2
9177,6.0,3.0,9.0,9.0,16.0,8.0,4.0,1.0,0.0,0.0,1,0,2,2,2,1,2,2,1
9178,2.0,3.0,6.0,9.0,6.0,15.0,3.0,3.0,1.0,0.0,2,0,0,0,0,0,0,0,2
9179,2.0,8.0,3.0,6.0,9.0,6.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0
9180,9.0,3.0,9.0,5.0,18.0,10.0,2.0,1.0,0.0,0.0,2,0,2,2,2,2,2,2,2
9181,6.0,1.0,7.0,2.0,13.0,16.0,3.0,2.0,0.0,0.0,2,0,2,2,2,2,2,2,2
9182,7.0,5.0,4.0,3.0,9.0,9.0,0.0,1.0,0.0,0.0,2,0,2,2,2,2,2,2,2
9183,5.0,3.0,6.0,1.0,12.0,7.0,1.0,1.0,0.0,0.0,2,0,2,2,2,2,2,2,2
9184,7.0,3.0,5.0,4.0,8.0,9.0,1.0,2.0,0.0,0.0,2,0,2,2,2,2,2,2,2
9185,5.0,4.0,5.0,6.0,13.0,17.0,1.0,2.0,0.0,0.0,2,0,2,2,2,2,2,2,2
9186,6.0,4.0,8.0,1.0,10.0,6.0,2.0,0.0,0.0,0.0,0,0,0,2,2,2,2,2,0
9187,5.0,9.0,9.0,9.0,10.0,11.0,3.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0
9188,7.0,4.0,1.0,5.0,14.0,9.0,3.0,0.0,0.0,0.0,2,0,2,2,2,2,2,2,2
9189,0.0,9.0,1.0,3.0,5.0,6.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0
9190,7.0,1.0,1.0,1.0,12.0,8.0,1.0,1.0,0.0,0.0,2,0,2,2,2,2,2,2,2
9191,3.0,0.0,6.0,2.0,15.0,16.0,4.0,2.0,0.0,0.0,1,0,1,1,2,1,2,2,1
9192,5.0,7.0,16.0,3.0,10.0,10.0,3.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,0
9193,2.0,8.0,8.0,5.0,21.0,15.0,6.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,0
9194,6.0,4.0,3.0,12.0,11.0,17.0,1.0,3.0,0.0,0.0,2,0,2,2,2,2,2,2,2
9195,4.0,3.0,9.0,1.0,6.0,12.0,0.0,4.0,0.0,0.0,0,0,0,2,0,2,0,0,0
9196,4.0,5.0,3.0,4.0,10.0,7.0,3.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1
9197,4.0,3.0,4.0,3.0,12.0,6.0,2.0,0.0,0.0,0.0,0,0,2,2,2,2,2,2,0
9198,6.0,2.0,6.0,3.0,8.0,6.0,2.0,1.0,0.0,0.0,2,0,2,2,2,2,2,2,2
9199,4.0,0.0,4.0,3.0,15.0,12.0,0.0,2.0,0.0,0.0,2,0,2,2,2,2,2,2,2
9200,5.0,2.0,9.0,4.0,9.0,14.0,1.0,2.0,0.0,0.0,0,0,2,2,2,2,2,2,0
9201,5.0,3.0,12.0,4.0,11.0,15.0,0.0,4.0,0.0,0.0,1,0,1,2,2,2,2,2,1
9202,3.0,0.0,3.0,2.0,10.0,9.0,2.0,2.0,0.0,0.0,2,0,2,2,2,2,2,2,2
9203,2.0,4.0,5.0,8.0,9.0,14.0,1.0,3.0,0.0,0.0,0,0,1,2,2,0,0,0,0
9204,8.0,3.0,6.0,5.0,10.0,12.0,1.0,2.0,0.0,0.0,1,0,2,2,2,2,2,2,1
9205,5.0,5.0,11.0,2.0,14.0,10.0,4.0,4.0,0.0,0.0,0,0,0,1,0,1,0,0,0
9206,1.0,7.0,3.0,3.0,9.0,24.0,1.0,4.0,0.0,0.0,0,0,0,0,0,0,0,0,0
9207,4.0,10.0,3.0,7.0,7.0,12.0,1.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,1
9208,0.0,2.0,5.0,4.0,10.0,11.0,2.0,3.0,0.0,0.0,1,0,0,2,0,1,0,0,1
9209,6.0,8.0,7.0,5.0,16.0,15.0,2.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0
9210,0.0,1.0,4.0,5.0,13.0,21.0,2.0,4.0,0.0,0.0,0,0,1,1,1,1,0,2,0
9211,2.0,2.0,4.0,3.0,6.0,11.0,1.0,3.0,0.0,0.0,0,0,1,2,2,2,2,2,0
9212,3.0,4.0,4.0,5.0,12.0,11.0,2.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,2
9213,7.0,4.0,3.0,11.0,7.0,14.0,2.0,4.0,0.0,0.0,0,0,2,2,2,2,2,2,0
9214,12.0,2.0,6.0,1.0,14.0,9.0,2.0,2.0,0.0,0.0,2,0,2,2,2,2,2,2,2
9215,3.0,8.0,3.0,5.0,16.0,11.0,3.0,1.0,0.0,0.0,2,0,0,0,0,0,0,0,2
9216,1.0,3.0,3.0,5.0,9.0,11.0,4.0,3.0,1.0,0.0,0,0,0,0,0,0,0,0,0
9217,5.0,5.0,9.0,2.0,10.0,9.0,4.0,2.0,0.0,0.0,2,0,0,0,0,0,0,0,2
9218,2.0,6.0,5.0,8.0,15.0,12.0,2.0,3.0,0.0,0.0,2,0,0,0,0,0,0,0,2
9219,4.0,2.0,8.0,3.0,5.0,13.0,4.0,4.0,0.0,0.0,1,0,1,1,2,1,2,2,1
9220,3.0,3.0,8.0,1.0,10.0,9.0,3.0,2.0,0.0,0.0,0,0,0,2,0,1,0,0,0
9221,4.0,2.0,7.0,6.0,5.0,10.0,0.0,2.0,0.0,0.0,2,0,2,2,2,2,2,2,2
9222,5.0,0.0,10.0,2.0,15.0,14.0,0.0,0.0,0.0,0.0,2,0,2,2,2,2,2,2,2
9223,4.0,2.0,9.0,1.0,11.0,8.0,1.0,3.0,0.0,0.0,1,0,1,2,2,2,2,2,1
9224,10.0,2.0,5.0,0.0,10.0,7.0,2.0,2.0,0.0,0.0,2,0,2,2,2,2,2,2,2
9225,0.0,6.0,2.0,8.0,5.0,7.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0
9226,8.0,3.0,3.0,1.0,7.0,13.0,0.0,1.0,0.0,1.0,2,0,2,2,2,2,2,2,2
9227,6.0,2.0,9.0,2.0,8.0,11.0,0.0,2.0,0.0,0.0,2,0,2,2,2,2,2,2,2
9228,5.0,9.0,5.0,8.0,13.0,13.0,2.0,2.0,0.0,0.0,0,0,0,0,0,0,0,0,0
9229,5.0,2.0,12.0,4.0,13.0,7.0,1.0,2.0,0.0,0.0,1,0,1,2,2,2,2,2,1
9230,6.0,2.0,6.0,3.0,16.0,9.0,3.0,1.0,1.0,0.0,2,0,2,0,2,2,1,2,2
9231,2.0,7.0,4.0,6.0,12.0,10.0,3.0,3.0,0.0,0.0,1,0,0,0,0,0,0,0,1
9232,4.0,8.0,5.0,5.0,16.0,4.0,4.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0
9233,1.0,5.0,5.0,4.0,17.0,10.0,4.0,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0
9234,2.0,4.0,2.0,3.0,13.0,19.0,5.0,4.0,0.0,0.0,0,0,0,0,0,0,0,0,0
9235,3.0,2.0,5.0,6.0,7.0,3.0,1.0,0.0,0.0,0.0,2,0,2,2,2,2,2,2,2
9236,4.0,0.0,8.0,5.0,5.0,6.0,1.0,1.0,0.0,0.0,2,0,2,2,2,2,2,2,2
