,HomeTeam,AwayTeam,FTHG,FTAG,HS,AST,HC,AC,HF,AF,HY,AY,HR,AR
181,Harrogate,Forest Green,0,1,4,3,8,8,11,10,0,1,0,0
182,Mansfield,Crawley Town,3,3,10,4,10,7,8,15,0,2,0,0
183,Newport County,Morecambe,2,1,5,5,5,4,10,14,0,2,0,1
184,Stevenage,Southend,0,0,0,2,5,4,12,11,1,2,0,0
185,Tranmere,Walsall,1,3,2,13,2,6,10,12,0,0,0,0
186,Colchester,Grimsby,2,1,3,2,2,6,15,12,2,1,0,0
187,Grimsby,Newport County,0,2,2,4,3,4,20,7,3,1,0,0
188,Scunthorpe,Colchester,0,1,5,2,5,2,14,10,1,2,0,0
189,Carlisle,Stevenage,4,0,8,0,7,1,10,14,0,1,0,1
190,Crawley Town,Barrow,4,2,6,5,8,5,14,13,3,1,0,1
191,Exeter,Tranmere,5,0,6,1,1,5,9,15,1,3,0,0
192,Forest Green,Cambridge,2,0,5,2,4,1,6,11,1,0,0,0
193,Grimsby,Mansfield,1,1,4,5,4,10,23,13,4,2,0,0
194,Leyton Orient,Newport County,2,1,4,3,1,2,16,13,2,5,0,0
195,Morecambe,Harrogate,1,0,6,0,2,7,12,11,2,0,0,0
196,Oldham,Bradford,3,1,4,6,7,11,17,7,3,2,0,0
197,Port Vale,Colchester,1,1,3,5,8,7,11,9,1,3,0,0
198,Salford,Cheltenham,0,0,0,5,1,3,14,13,1,0,0,0
199,Southend,Scunthorpe,1,0,3,0,2,5,13,14,0,0,0,0
200,Walsall,Bolton,2,1,5,1,5,4,18,13,1,2,0,0
201,Morecambe,Leyton Orient,2,1,4,3,5,3,18,13,4,4,0,0
202,Carlisle,Mansfield,1,0,7,1,11,6,17,14,5,1,0,0
203,Oldham,Walsall,2,3,6,5,4,6,14,13,2,1,0,0
204,Port Vale,Forest Green,1,1,6,3,4,4,13,10,1,2,0,0
205,Salford,Newport County,1,1,10,6,3,7,27,10,3,2,0,0
206,Scunthorpe,Barrow,2,1,3,4,6,8,16,14,2,2,0,0
207,Cambridge,Colchester,2,1,7,2,4,3,15,10,1,1,0,0
208,Cheltenham,Bolton,0,1,4,5,7,3,18,6,2,0,0,0
209,Crawley Town,Bradford,1,1,0,4,4,4,17,10,1,1,0,0
210,Exeter,Harrogate,1,2,5,3,10,5,9,13,1,1,0,0
211,Southend,Grimsby,3,1,4,2,4,5,8,16,0,1,0,1
212,Barrow,Cheltenham,3,0,8,2,4,4,6,9,1,3,0,0
213,Bolton,Tranmere,0,3,3,5,7,4,13,13,0,0,0,0
214,Bradford,Cambridge,1,0,3,1,4,3,14,10,2,1,0,0
215,Colchester,Morecambe,1,2,3,10,4,7,12,11,0,2,0,0
216,Forest Green,Carlisle,1,0,5,2,7,6,15,19,1,4,0,0
217,Grimsby,Scunthorpe,1,0,2,1,4,1,22,12,1,3,0,0
218,Harrogate,Salford,0,1,5,6,5,9,18,9,3,1,0,0
219,Leyton Orient,Crawley Town,1,2,3,2,9,3,9,11,1,1,0,0
